	trialType	Response	Attempts	RT	waterTime
0	AB	correct		35.460999965667725	4.045000076293945
1	AB	correct		138.19899988174438	5.0269999504089355
2	AB	incorrect		35.95099997520447	NA
3	AB	correct		372.9370000362396	17.283999919891357
4	AB	correct		134.31300020217896	18.325999975204468
5	AB	correct		35.76200008392334	16.4229998588562
6	AB	incorrect		47.51800012588501	NA
7	AB	correct		21.12000012397766	10.905999898910522
8	AB	correct		227.24599981307983	13.139000177383423
9	AB	correct		547.7979998588562	22.26200008392334
10	AB	incorrect		40.218000173568726	NA
11	AB	correct		299.7810001373291	14.5
12	AB	correct		15.361999988555908	11.817000150680542
13	AB	correct		24.34500002861023	4.296000003814697
14	AB	correct		17.003999948501587	8.04200005531311
15	AB	incorrect		509.26199984550476	NA
16	AB	incorrect		1.4620001316070557	NA
17	AB	correct		29.912999868392944	3.3550000190734863
18	AB	correct		732.2829999923706	54.79900002479553
19	AB	correct		95.0460000038147	68.58899998664856
20	AB	correct		52.50600004196167	23.102999925613403
21	AB	correct		56.20099997520447	8.881999969482422
22	AB	correct		22.96299982070923	8.29200005531311
23	AB	correct		277.52899980545044	1.502000093460083
24					
25					
26					
27					
28					
29					
30					
31					
32					
33					
34					
35					
36					
37					
38					
39					
40					
41					
42					
43					
44					
45					
46					
47					
48					
49					
50					
51					
52					
53					
54					
55					
56					
57					
58					
59					
60					
61					
62					
63					
