	trialType	Response	Attempts	RT	waterTime
0	AB	incorrect		24.0239999294281	NA
1	AB	correct		15.562999963760376	3.3949999809265137
2	AB	correct		3.4150002002716064	4.425999879837036
3	AB	incorrect		2.7639999389648438	NA
4	AB	correct		5.799000024795532	3.754999876022339
5	AB	correct		4.886999845504761	4.0959999561309814
6	AB	correct		5.187999963760376	3.6649999618530273
7	AB	correct		7.7209999561309814	3.754999876022339
8	AB	correct		1.7229998111724854	3.805000066757202
9	AB	incorrect		1.8930001258850098	NA
10	AB	correct		3.93500018119812	4.135999917984009
11	AB	incorrect		2.324000120162964	NA
12	AB	correct		3.245000123977661	3.7249999046325684
13	AB	incorrect		3.7049999237060547	NA
14	AB	correct		7.371000051498413	5.156999826431274
15	AB	incorrect		9.243000030517578	NA
16	DE	correct		18.407000064849854	3.9649999141693115
17	CA	correct		7.009999990463257	3.4149999618530273
18	CA	correct		11.677000045776367	4.055999994277954
19	DE	correct		2.944000005722046	3.9049999713897705
20	CA	correct		3.06499981880188	3.885000228881836
21	DE	correct		4.796999931335449	3.805999994277954
22	CA	incorrect		2.99399995803833	NA
23	CA	correct		1.6729998588562012	3.5849997997283936
24	DE	correct		4.635999917984009	3.75600004196167
25	DE	correct		20.05900001525879	3.1640000343322754
26	CA	incorrect		2.9850001335144043	NA
27	CA	correct		6.688999891281128	3.8459999561309814
28	DE	correct		2.7639999389648438	3.7649998664855957
29	CA	incorrect		1.2119998931884766	NA
30	CA	incorrect		2.003000020980835	NA
31	DE	correct		2.7340002059936523	4.515999794006348
32	CA	incorrect		2.0929999351501465	NA
33	CA	correct		8.302000045776367	3.575000047683716
34	DE	correct		1.9520001411437988	4.697000026702881
35	CA	correct		1.4219999313354492	3.8959999084472656
36	CA	incorrect		3.1449999809265137	NA
37	DE	correct		3.2649998664855957	3.2950000762939453
38	CA	correct		8.381999969482422	4.3459999561309814
39	DE	correct		1.4219999313354492	4.7170000076293945
40	DE	correct		1.0320000648498535	3.5250000953674316
41	CA	correct		2.263000011444092	4.296000003814697
42	DE	correct		3.875	6.148999929428101
43	DE	incorrect		4.786999940872192	NA
44	CA	correct		4.4670000076293945	3.484999895095825
45	DE	incorrect		2.5440001487731934	NA
46	CA	correct		25.76699995994568	3.4649999141693115
47	DE	correct		1.7619998455047607	4.335999965667725
48	DE	incorrect		2.503000020980835	NA
49	CA	correct		2.5940001010894775	3.1540000438690186
50	DE	correct		2.1530001163482666	3.9649999141693115
51	CA	correct		3.565000057220459	3.5249998569488525
52	DE	correct		2.7340002059936523	4.386999845504761
53	CA	incorrect		7.300000190734863	NA
54	DE	correct		3.1040000915527344	3.3450000286102295
55	DE	correct		3.495000123977661	4.346999883651733
56	CA	correct		1.9320001602172852	4.375999927520752
57	DE	incorrect		2.4529998302459717	NA
58	DE	correct		4.496000051498413	3.3949999809265137
59	CA	incorrect		2.1429998874664307	NA
60	DE	correct		4.1559998989105225	3.555999994277954
61	DE	correct		4.386000156402588	3.674999952316284
62	CA	correct		3.2940001487731934	4.026000022888184
63	DE	incorrect		2.4539999961853027	NA
64	DE	correct		1.3519999980926514	6.168999910354614
65	CA	correct		4.91700005531311	4.397000074386597
66	DE	correct		7.109999895095825	3.505000114440918
67	DE	correct		3.255000114440918	4.4059998989105225
68	CA	correct		1.9620001316070557	3.6649999618530273
69	CA	correct		2.623999834060669	3.93500018119812
70	DE	correct		5.016999959945679	3.7960000038146973
71	CA	correct		5.476999998092651	3.496000051498413
72	CA	correct		6.379000186920166	4.005999803543091
73	DE	incorrect		1.2819998264312744	NA
74	CA	correct		6.58899998664856	3.265000104904175
75	CA	correct		20.138999938964844	3.2850000858306885
76	DE	correct		2.7639999389648438	6.148999929428101
77	CA	correct		1.5420000553131104	4.496999979019165
78	CA	correct		5.978999853134155	3.3949999809265137
79	DE	correct		18.25600004196167	3.4149999618530273
