	trialType	Response	Attempts	RT	waterTime
0	AB	correct		1.0809998512268066	5.718000173568726
1	AB	incorrect		1.562000036239624	NA
2	AB	incorrect		1.8930001258850098	NA
3	AB	incorrect		1.241999864578247	NA
4	AB	correct		1.1010000705718994	3.125
5	AB	correct		1.1019999980926514	2.1429998874664307
6	AB	incorrect		0.9110000133514404	NA
7	AB	incorrect		1.5920000076293945	NA
8	AB	incorrect		1.1410000324249268	NA
9	AB	correct		0.8910000324249268	2.6740000247955322
10	AB	correct		2.1529998779296875	3.2750000953674316
11	AB	incorrect		0.8410000801086426	NA
12	AB	correct		1.3920001983642578	2.5239999294281006
13	AB	correct		1.8619999885559082	2.30400013923645
14	AB	correct		1.0920000076293945	3.0739998817443848
15	AB	correct		0.9309999942779541	1.9530000686645508
16	CA	correct		9.213000059127808	2.6040000915527344
17	DE	correct		7.310999870300293	2.003000020980835
18	DE	incorrect		3.865999937057495	NA
19	CA	incorrect		2.2230000495910645	NA
20					
21					
22					
23					
24					
25					
26					
27					
28					
29					
30					
31					
32					
33					
34					
35					
36					
37					
38					
39					
40					
41					
42					
43					
44					
45					
46					
47					
