	events
0	['dummyStart', 'correct_port_persev']
1	['dummyStart', 'correct_port_persev']
2	['dummyStart', 'correct_port_persev']
3	['dummyStart', 'wrong_port_OD']
4	['dummyStart', 'correct_port_persev']
5	['dummyStart', 'wrong_port_OD']
6	['dummyStart', 'correct_port_persev']
7	['dummyStart', 'correct_port_persev']
8	['dummyStart', 'wrong_port_OD']
9	['dummyStart', 'correct_port_persev']
10	['dummyStart', 'correct_port_persev']
11	['dummyStart', 'correct_port_persev']
12	['dummyStart', 'wrong_port_OD']
13	['dummyStart', 'correct_port_persev']
14	['dummyStart', 'wrong_port_OD']
15	['dummyStart', 'correct_port_persev']
16	['dummyStart', 'correct_port_persev']
17	['dummyStart', 'wrong_port_OD']
18	['dummyStart', 'correct_port_persev']
19	['dummyStart', 'correct_port_persev']
20	['dummyStart', 'correct_port_persev']
21	['dummyStart', 'correct_port_persev']
22	['dummyStart', 'wrong_port_OD']
23	['dummyStart', 'correct_port_persev']
24	['dummyStart', 'correct_port_persev']
25	['dummyStart', 'correct_port_persev']
26	['dummyStart', 'wrong_port_OD']
27	['dummyStart', 'correct_port_persev']
28	['dummyStart', 'correct_port_persev']
29	['dummyStart', 'correct_port_persev']
30	['dummyStart', 'correct_port_persev']
31	['dummyStart', 'correct_port_persev']
32	['dummyStart', 'wrong_port_OD']
33	['dummyStart', 'correct_port_persev']
34	['dummyStart', 'correct_port_persev']
35	['dummyStart', 'correct_port_persev', 'wrong_port_persev']
36	['dummyStart', 'correct_port_persev']
37	['dummyStart', 'wrong_port_OD']
38	['dummyStart', 'correct_port_persev']
39	['dummyStart', 'correct_port_persev']
40	['dummyStart', 'correct_port_persev']
41	['dummyStart', 'correct_port_persev']
42	['dummyStart', 'correct_port_persev']
43	['dummyStart', 'wrong_port_OD']
44	['dummyStart', 'correct_port_persev']
45	['dummyStart', 'correct_port_persev']
46	['dummyStart', 'wrong_port_OD']
47	['dummyStart', 'correct_port_persev']
48	['dummyStart', 'wrong_port_OD']
49	['dummyStart', 'correct_port_persev', 'wrong_port_persev']
50	['dummyStart', 'correct_port_persev']
51	['dummyStart', 'correct_port_persev']
52	['dummyStart', 'wrong_port_OD']
53	['dummyStart', 'wrong_port_OD']
54	['dummyStart', 'correct_port_persev']
55	['dummyStart', 'wrong_port_OD']
56	['dummyStart', 'correct_port_persev']
57	['dummyStart', 'wrong_port_OD']
58	['dummyStart', 'wrong_port_OD']
59	['dummyStart', 'correct_port_persev']
60	['dummyStart', 'correct_port_persev']
61	['dummyStart', 'correct_port_persev']
62	['dummyStart', 'correct_port_persev']
63	['dummyStart', 'correct_port_persev']
