	trialType	Response	Attempts	RT	waterTime
0	AB	correct		6.289000034332275	2.6540000438690186
1	AB	correct		2.8440001010894775	4.19599986076355
2	AB	correct		3.755000114440918	3.003999948501587
3	AB	correct		1.562000036239624	2.7139999866485596
4	AB	correct		1.2119998931884766	2.9639999866485596
5	AB	incorrect		3.125	NA
6	AB	correct		3.7249999046325684	2.874000072479248
7	AB	correct		1.8819999694824219	2.7140002250671387
8	AB	incorrect		2.072999954223633	NA
9	AB	correct		5.95799994468689	2.8550000190734863
10	AB	correct		2.7940001487731934	3.375
11	AB	correct		1.2719998359680176	2.754000186920166
12	AB	correct		2.624000072479248	3.4749999046325684
13	AB	correct		2.1630001068115234	2.7839999198913574
14	AB	correct		5.077000141143799	2.753999948501587
15	AB	correct		1.0910000801086426	2.614000082015991
16	AB	incorrect		0.8409998416900635	NA
17	AB	incorrect		1.753000020980835	NA
18	AB	correct		1.7630000114440918	2.422999858856201
19	AB	correct		1.4620001316070557	2.9549999237060547
20	AB	correct		2.2130000591278076	2.4040000438690186
21	AB	correct		0.5310001373291016	2.944000005722046
22	AB	correct		1.2219998836517334	2.5230000019073486
23	AB	correct		4.245999813079834	2.323000192642212
24	AB	correct		1.872999906539917	2.9140000343322754
25	AB	correct		0.7109999656677246	2.6040000915527344
26	AB	correct		3.315000057220459	2.2829999923706055
27	AB	correct		2.8940000534057617	2.6540000438690186
28	AB	correct		6.789999961853027	2.3930001258850098
29	AB	correct		3.384999990463257	2.8339998722076416
30	AB	incorrect		2.134000062942505	NA
31	AB	correct		5.108000040054321	2.3329999446868896
32	AB	correct		6.158999919891357	2.6440000534057617
33	AB	correct		2.3939998149871826	2.4230000972747803
34	AB	correct		2.302999973297119	2.514000177383423
35	AB	correct		2.363999843597412	2.4830000400543213
36	AB	correct		3.6650002002716064	2.7039999961853027
37	AB	correct		2.863999843597412	2.433000087738037
38	AB	correct		1.9930000305175781	2.634000062942505
39	AB	correct		1.6629998683929443	2.4730000495910645
40	AB	correct		2.243000030517578	2.302999973297119
41	AB	incorrect		0.8710000514984131	NA
42	AB	correct		2.122999906539917	2.2829999923706055
43	AB	correct		2.3330001831054688	2.363999843597412
44	AB	correct		2.4040000438690186	2.4830000400543213
45	AB	correct		3.6050000190734863	2.5840001106262207
46	AB	correct		2.052999973297119	2.2639999389648438
47	AB	correct		1.5320000648498535	2.5739998817443848
48	AB	correct		2.4539999961853027	2.3630001544952393
49	AB	correct		1.4619998931884766	2.443000078201294
50	AB	correct		1.5720000267028809	2.6040000915527344
51	AB	correct		3.6459999084472656	2.322999954223633
52	AB	incorrect		5.226999998092651	NA
53	AB	incorrect		0.9709999561309814	NA
54	AB	correct		1.4819998741149902	2.574000120162964
55	AB	correct		1.9530000686645508	2.5339999198913574
56	AB	correct		2.4539999961853027	2.5439999103546143
57	AB	correct		2.123000144958496	2.6439998149871826
58	AB	correct		4.375999927520752	2.8940000534057617
59	AB	correct		2.3929998874664307	2.9140000343322754
60	AB	correct		1.8329999446868896	2.552999973297119
61	AB	incorrect		1.6619999408721924	NA
62	AB	correct		1.6429998874664307	2.2730000019073486
63	AB	correct		2.693000078201294	3.4850001335144043
