,ratID,session,id,condition,trialType,accuracy,Drug
1,25,27,25,control,AB,0.75,methyl
3,35,27,35,control,AB,0.6875,methyl
5,46,27,46,control,AB,0.5625,methyl
6,49,27,49,control,AB,0.6875,methyl
8,53,27,53,control,AB,0.75,methyl
9,57,27,57,control,AB,0.9375,methyl
56,25,27,25,control,CA,0.5,methyl
58,35,27,35,control,CA,0.59375,methyl
60,46,27,46,control,CA,0.53125,methyl
61,49,27,49,control,CA,0.40625,methyl
63,53,27,53,control,CA,0.65625,methyl
64,57,27,57,control,CA,0.53125,methyl
111,25,27,25,control,DE,0.5,methyl
113,35,27,35,control,DE,0.65625,methyl
115,46,27,46,control,DE,0.65625,methyl
116,49,27,49,control,DE,0.71875,methyl
118,53,27,53,control,DE,0.9375,methyl
119,57,27,57,control,DE,0.65625,methyl
2,28,27,28,sap,AB,0.875,methyl
4,36,27,36,sap,AB,0.6875,methyl
7,50,27,50,sap,AB,0.25,methyl
10,63,27,63,sap,AB,0.8125,methyl
11,64,27,64,sap,AB,0.625,methyl
57,28,27,28,sap,CA,0.5,methyl
59,36,27,36,sap,CA,0.3125,methyl
62,50,27,50,sap,CA,0.34375,methyl
65,63,27,63,sap,CA,0.40625,methyl
66,64,27,64,sap,CA,0.5,methyl
112,28,27,28,sap,DE,0.75,methyl
114,36,27,36,sap,DE,0.6875,methyl
117,50,27,50,sap,DE,0.46875,methyl
120,63,27,63,sap,DE,0.6875,methyl
121,64,27,64,sap,DE,0.625,methyl
12,25,28,25,control,AB,0.625,methyl
14,35,28,35,control,AB,0.625,methyl
16,46,28,46,control,AB,0.625,methyl
17,49,28,49,control,AB,0.6875,methyl
19,53,28,53,control,AB,0.625,methyl
20,57,28,57,control,AB,0.625,methyl
67,25,28,25,control,CA,0.625,methyl
69,35,28,35,control,CA,0.3125,methyl
71,46,28,46,control,CA,0.625,methyl
72,49,28,49,control,CA,0.40625,methyl
74,53,28,53,control,CA,0.6875,methyl
75,57,28,57,control,CA,0.53125,methyl
122,25,28,25,control,DE,0.6875,methyl
124,35,28,35,control,DE,0.46875,methyl
126,46,28,46,control,DE,0.46875,methyl
127,49,28,49,control,DE,0.6875,methyl
129,53,28,53,control,DE,0.78125,methyl
130,57,28,57,control,DE,0.625,methyl
13,28,28,28,sap,AB,0.8125,methyl
15,36,28,36,sap,AB,0.875,methyl
18,50,28,50,sap,AB,0.3125,methyl
21,63,28,63,sap,AB,0.75,methyl
22,64,28,64,sap,AB,0.5,methyl
68,28,28,28,sap,CA,0.5625,methyl
70,36,28,36,sap,CA,0.5625,methyl
73,50,28,50,sap,CA,0.5,methyl
76,63,28,63,sap,CA,0.46875,methyl
77,64,28,64,sap,CA,0.4375,methyl
123,28,28,28,sap,DE,0.84375,methyl
125,36,28,36,sap,DE,0.8125,methyl
128,50,28,50,sap,DE,0.71875,methyl
131,63,28,63,sap,DE,0.59375,methyl
132,64,28,64,sap,DE,0.59375,methyl
23,25,29,25,control,AB,0.6875,methyl
25,35,29,35,control,AB,0.6875,methyl
27,46,29,46,control,AB,0.625,methyl
28,49,29,49,control,AB,1,methyl
30,53,29,53,control,AB,0.5625,methyl
31,57,29,57,control,AB,0.6875,methyl
78,25,29,25,control,CA,0.75,methyl
80,35,29,35,control,CA,0.375,methyl
82,46,29,46,control,CA,0.5,methyl
83,49,29,49,control,CA,0.28125,methyl
85,53,29,53,control,CA,0.71875,methyl
86,57,29,57,control,CA,0.53125,methyl
133,25,29,25,control,DE,0.59375,methyl
135,35,29,35,control,DE,0.71875,methyl
137,46,29,46,control,DE,0.625,methyl
138,49,29,49,control,DE,1,methyl
140,53,29,53,control,DE,0.75,methyl
141,57,29,57,control,DE,0.8125,methyl
24,28,29,28,sap,AB,0.5625,methyl
26,36,29,36,sap,AB,1,methyl
29,50,29,50,sap,AB,0.375,methyl
32,63,29,63,sap,AB,0.6875,methyl
33,64,29,64,sap,AB,0.875,methyl
79,28,29,28,sap,CA,0.5,methyl
81,36,29,36,sap,CA,0.5625,methyl
84,50,29,50,sap,CA,0.5625,methyl
87,63,29,63,sap,CA,0.65625,methyl
88,64,29,64,sap,CA,0.46875,methyl
134,28,29,28,sap,DE,0.5,methyl
136,36,29,36,sap,DE,0.78125,methyl
139,50,29,50,sap,DE,0.59375,methyl
142,63,29,63,sap,DE,0.65625,methyl
143,64,29,64,sap,DE,0.875,methyl
34,25,30,25,control,AB,0.6875,scop
36,35,30,35,control,AB,0.5625,scop
38,46,30,46,control,AB,0.5,scop
39,49,30,49,control,AB,0.875,scop
41,53,30,53,control,AB,0.5,scop
42,57,30,57,control,AB,0.5625,scop
89,25,30,25,control,CA,0.65625,scop
91,35,30,35,control,CA,0.5,scop
93,46,30,46,control,CA,0.40625,scop
94,49,30,49,control,CA,0.4375,scop
96,53,30,53,control,CA,0.6875,scop
97,57,30,57,control,CA,0.5625,scop
144,25,30,25,control,DE,0.6875,scop
146,35,30,35,control,DE,0.71875,scop
148,46,30,46,control,DE,0.6875,scop
149,49,30,49,control,DE,0.8125,scop
151,53,30,53,control,DE,0.78125,scop
152,57,30,57,control,DE,0.65625,scop
35,28,30,28,sap,AB,0.6875,scop
37,36,30,36,sap,AB,0.6875,scop
40,50,30,50,sap,AB,0.5,scop
43,63,30,63,sap,AB,0.625,scop
44,64,30,64,sap,AB,0.6875,scop
90,28,30,28,sap,CA,0.71875,scop
92,36,30,36,sap,CA,0.75,scop
95,50,30,50,sap,CA,0.625,scop
98,63,30,63,sap,CA,0.75,scop
99,64,30,64,sap,CA,0.59375,scop
145,28,30,28,sap,DE,0.5,scop
147,36,30,36,sap,DE,0.5,scop
150,50,30,50,sap,DE,0.59375,scop
153,63,30,63,sap,DE,0.5625,scop
154,64,30,64,sap,DE,0.5,scop
45,25,31,25,control,AB,0.5,scop
47,35,31,35,control,AB,0.6875,scop
49,46,31,46,control,AB,0.625,scop
50,49,31,49,control,AB,0.75,scop
52,53,31,53,control,AB,0.75,scop
53,57,31,57,control,AB,0.8125,scop
100,25,31,25,control,CA,0.53125,scop
102,35,31,35,control,CA,0.625,scop
104,46,31,46,control,CA,0.4375,scop
105,49,31,49,control,CA,0.5,scop
107,53,31,53,control,CA,0.75,scop
108,57,31,57,control,CA,0.71875,scop
155,25,31,25,control,DE,0.8125,scop
157,35,31,35,control,DE,0.53125,scop
159,46,31,46,control,DE,0.65625,scop
160,49,31,49,control,DE,0.78125,scop
162,53,31,53,control,DE,0.90625,scop
163,57,31,57,control,DE,0.71875,scop
46,28,31,28,sap,AB,0.625,scop
48,36,31,36,sap,AB,0.6875,scop
51,50,31,50,sap,AB,0.6875,scop
54,63,31,63,sap,AB,0.625,scop
55,64,31,64,sap,AB,0.6875,scop
101,28,31,28,sap,CA,0.6875,scop
103,36,31,36,sap,CA,0.53125,scop
106,50,31,50,sap,CA,0.40625,scop
109,63,31,63,sap,CA,0.53125,scop
110,64,31,64,sap,CA,0.46875,scop
156,28,31,28,sap,DE,0.8125,scop
158,36,31,36,sap,DE,0.625,scop
161,50,31,50,sap,DE,0.625,scop
164,63,31,63,sap,DE,0.5625,scop
165,64,31,64,sap,DE,0.71875,scop
