	trialType	Response	Attempts	RT	waterTime
0	AB	correct		0.6510000228881836	1.7720000743865967
1	AB	correct		30.674000024795532	4.046000003814697
2	AB	correct		4.506999969482422	3.634999990463257
3	AB	correct		3.365000009536743	3.6050000190734863
4	AB	incorrect		2.433000087738037	NA
5	AB	incorrect		2.6540000438690186	NA
6	AB	correct		23.174000024795532	7.320000171661377
7	AB	correct		3.325000047683716	3.124000072479248
8	AB	incorrect		2.322999954223633	NA
9	AB	correct		1.683000087738037	3.81499981880188
10	AB	correct		5.977999925613403	3.815999984741211
11	AB	correct		3.7150001525878906	3.805999994277954
12	AB	correct		5.54800009727478	3.56499981880188
13	AB	correct		1.5119998455047607	4.516999959945679
14	AB	incorrect		1.0520000457763672	NA
15	AB	correct		3.4250001907348633	3.924999952316284
16	AB	correct		1.8430001735687256	3.3349997997283936
17	AB	correct		1.6730000972747803	5.3480000495910645
18	AB	correct		3.0339999198913574	4.516999959945679
19	AB	incorrect		3.3450000286102295	NA
20	AB	correct		3.495000123977661	3.7849998474121094
21	AB	correct		6.448999881744385	3.745000123977661
22	AB	correct		2.7939999103546143	5.118000030517578
23	AB	correct		5.477999925613403	3.815000057220459
24	AB	correct		4.706000089645386	3.7360000610351562
25	AB	correct		1.5520000457763672	4.2159998416900635
26	AB	incorrect		2.0829999446868896	NA
27	AB	correct		5.358000040054321	3.7760000228881836
28	AB	incorrect		1.9230000972747803	NA
29	AB	correct		3.4250001907348633	4.005999803543091
30	AB	correct		3.684999942779541	4.436000108718872
31	AB	correct		6.730000019073486	3.375
32	AB	correct		7.4709999561309814	4.004999876022339
33	AB	correct		4.115999937057495	4.296000003814697
34	AB	correct		3.5749998092651367	4.266000032424927
35	AB	correct		4.044999837875366	4.747000217437744
36	AB	correct		9.644000053405762	3.755000114440918
37	AB	correct		3.5149998664855957	4.016000032424927
38	AB	correct		4.185999870300293	3.1449999809265137
39	AB	incorrect		1.8330001831054688	NA
40	AB	correct		12.32800006866455	3.7750000953674316
41	AB	correct		7.861000061035156	3.7649998664855957
42	AB	incorrect		1.932999849319458	NA
43	AB	correct		7.752000093460083	3.815000057220459
44	AB	correct		2.6440000534057617	4.0959999561309814
45	AB	correct		1.5720000267028809	5.187999963760376
46	AB	correct		10.956000089645386	4.055999994277954
47	AB	correct		2.74399995803833	3.996000051498413
48	AB	correct		7.460999965667725	18.617000102996826
49	AB	correct		8.54200005531311	3.8559999465942383
50	AB	correct		2.8940000534057617	3.9860000610351562
51	AB	correct		4.055999994277954	3.565000057220459
52	AB	correct		3.2249999046325684	20.800000190734863
53	AB	correct		1.3420000076293945	4.175999879837036
54	AB	incorrect		3.5950000286102295	NA
55	AB	correct		9.7739999294281	3.815000057220459
56	AB	correct		4.496999979019165	3.4549999237060547
57	AB	incorrect		2.302999973297119	NA
58	AB	correct		32.73699998855591	3.68500018119812
59	AB	incorrect		2.3329999446868896	NA
60	AB	correct		28.750999927520752	4.476999998092651
61	AB	correct		2.5829999446868896	5.4079999923706055
62	AB	correct		2.7339999675750732	6.700000047683716
63	AB	correct		3.555000066757202	4.846999883651733
