	trialType	Response	Attempts	RT	waterTime
0	AB	correct		19.808000087738037	2.1740000247955322
1	AB	correct		5.476999998092651	3.4050002098083496
2	AB	correct		17.235000133514404	3.2649998664855957
3	AB	incorrect		1.562999963760376	NA
4	AB	correct		2.754000186920166	3.363999843597412
5	AB	correct		1.0809998512268066	3.1050000190734863
6	AB	incorrect		4.166000127792358	NA
7	AB	correct		2.203000068664551	3.3350000381469727
8	AB	incorrect		3.7160000801086426	NA
9	AB	correct		0.7210001945495605	2.8939998149871826
10	AB	incorrect		1.6419999599456787	NA
11	AB	correct		2.9739999771118164	5.588000059127808
12	AB	correct		5.9079999923706055	3.805999994277954
13	AB	incorrect		4.135999917984009	NA
14	AB	incorrect		1.0520000457763672	NA
15	AB	correct		5.267999887466431	3.6549999713897705
16	DE	incorrect		11.736999988555908	NA
17	DE	correct		2.7939999103546143	4.315999984741211
18	CA	incorrect		4.375999927520752	NA
19	CA	correct		1.3020000457763672	3.2950000762939453
20	DE	incorrect		1.622999906539917	NA
21	CA	correct		1.1110000610351562	2.944999933242798
22	DE	incorrect		2.4539999961853027	NA
23	CA	incorrect		1.871999979019165	NA
24	DE	incorrect		3.625	NA
25	DE	incorrect		4.9070000648498535	NA
26	CA	correct		5.5980000495910645	3.7049999237060547
27	DE	correct		4.075999975204468	3.184999942779541
28	DE	incorrect		3.56499981880188	NA
29	CA	incorrect		2.11299991607666	NA
30	DE	correct		2.4140000343322754	2.7639999389648438
31	CA	correct		1.0509998798370361	3.194999933242798
32	CA	correct		2.2839999198913574	3.124000072479248
33	DE	correct		7.561000108718872	3.304999828338623
34	DE	correct		8.351999998092651	4.527000188827515
35	CA	correct		2.183000087738037	3.124000072479248
36	DE	correct		0.8009998798370361	2.694000005722046
37	CA	correct		3.995999813079834	3.445000171661377
38	CA	correct		1.3519999980926514	2.9739999771118164
39	DE	correct		1.3420000076293945	3.065000057220459
40	CA	correct		2.312999963760376	3.0250000953674316
41	CA	incorrect		1.0210001468658447	NA
42	DE	incorrect		1.7720000743865967	NA
43	CA	correct		1.7330000400543213	3.1640000343322754
44	DE	correct		3.194999933242798	3.555000066757202
45	CA	incorrect		1.8829998970031738	NA
46	CA	incorrect		2.4529998302459717	NA
47	DE	incorrect		7.069999933242798	NA
48	DE	correct		1.4830000400543213	2.693000078201294
49	CA	incorrect		0.8409998416900635	NA
50	DE	correct		0.6100001335144043	3.5759999752044678
51	DE	correct		6.499000072479248	3.6049997806549072
52	CA	incorrect		2.0929999351501465	NA
53	CA	incorrect		1.7320001125335693	NA
54	DE	incorrect		1.0220000743865967	NA
55	CA	correct		1.6530001163482666	2.9639999866485596
56	CA	incorrect		4.947000026702881	NA
57	DE	correct		4.32699990272522	3.4049999713897705
58	CA	incorrect		1.9229998588562012	NA
59	DE	correct		1.1610000133514404	3.054999828338623
60	CA	correct		2.8350000381469727	3.2039999961853027
61	CA	incorrect		2.5439999103546143	NA
62	DE	incorrect		5.48799991607666	NA
63	DE	correct		0.5510001182556152	3.113999843597412
64	CA	incorrect		2.3940000534057617	NA
65	DE	incorrect		1.3919999599456787	NA
66	DE	incorrect		1.180999994277954	NA
67	CA	incorrect		2.6040000915527344	NA
68	DE	correct		9.17300009727478	3.805000066757202
69	DE	incorrect		2.8440001010894775	NA
70	CA	incorrect		1.622999906539917	NA
71	DE	correct		2.003000020980835	2.694000005722046
72	DE	correct		2.172999858856201	3.2350001335144043
73	CA	incorrect		2.2339999675750732	NA
74	CA	correct		3.7660000324249268	2.9639999866485596
75	DE	correct		2.5840001106262207	3.4749999046325684
76	CA	incorrect		1.1419999599456787	NA
77	DE	incorrect		1.1510000228881836	NA
78	CA	correct		1.7829999923706055	3.123999834060669
79	CA	incorrect		0.6809999942779541	NA
